ID,Spots
anti-HIS tag,spot-3-1; spot-4-1; spot-5-1
114,spot-1-2; spot-2-2
100,spot-1-3; spot-2-3
KZ52,spot-1-4; spot-2-4
c13C6,spot-1-5; spot-2-5
c2G4,spot-1-6; spot-2-6
c4G7,spot-1-7; spot-2-7
15731,spot-3-2; spot-4-2
15742,spot-3-3; spot-4-3
15750,spot-3-4; spot-4-4
15878,spot-3-5; spot-4-5
15946,spot-3-6; spot-4-6
15960,spot-3-7; spot-4-7
15974,spot-5-2; spot-6-2
16061,spot-5-3; spot-6-3
FVM04,spot-5-4; spot-6-4
VIC122,spot-5-5; spot-6-5
Q206,spot-5-6; spot-6-6
Q314,spot-5-7; spot-6-7
Q411,spot-3-8; spot-4-8
xkappa biotin,spot-1-1; spot-2-1; spot-6-1; spot-1-8; spot-6-8
xmouse IgG Fc,spot-2-8
GFP foldon,spot-5-8